Year,Month,logan_passengers,logan_intl_flights,hotel_occup_rate,hotel_avg_daily_rate,total_jobs,unemp_rate,labor_force_part_rate
2013,1,2019662,2986,0.572,158.93,322957,0.066,0.631
2013,2,1878731,2587,0.645,165.5,324295,0.06,0.629
2013,3,2469155,3250,0.819,187.45,325597,0.058,0.631
2013,4,2551246,3408,0.855,233.44,326101,0.058,0.632
2013,5,2676291,3240,0.858,237.89,325160,0.063,0.633
2013,6,2824862,3402,0.911,244.45,329151,0.07,0.645
2013,7,2978718,3660,0.886,221.2,329650,0.068,0.645
2013,8,3020074,3700,0.917,223,330525,0.063,0.643
2013,9,2504491,3181,0.881,255.5,326334,0.063,0.635
2013,10,2672640,3056,0.915,287.47,328683,0.058,0.637
2013,11,2296667,2708,0.786,222.55,331900,0.055,0.641
2013,12,2345162,2780,0.589,157.89,330927,0.053,0.637
2014,1,2016205,2714,0.605,168.48,329581,0.058,0.627
2014,2,1935511,2591,0.647,171.5,331686,0.054,0.628
2014,3,2555815,3152,0.788,198.65,334019,0.052,0.631
2014,4,2551246,3408,0.883,260.13,333925,0.049,0.629
2014,5,2877233,3478,0.894,262.22,333710,0.053,0.631
2014,6,2938917,3674,0.911,259.62,338655,0.058,0.644
2014,7,3137087,4000,0.931,245.93,339755,0.059,0.647
2014,8,3136875,3962,0.926,247.29,340804,0.055,0.646
2014,9,2672685,3444,0.901,285.83,336259,0.054,0.637
2014,10,2799342,3356,0.888,288.5,341224,0.048,0.642
2014,11,2422024,3055,0.797,249.72,342700,0.047,0.644
2014,12,2420784,3179,0.62,180.79,341626,0.044,0.64
2015,1,2108046,3009,0.652,174.51,341410,0.05,0.632
2015,2,1941426,2602,0.668,180.2,343127,0.046,0.633
2015,3,2704714,3254,0.841,228.31,344283,0.043,0.633
2015,4,2833871,3527,0.831,218.1,345110,0.041,0.633
2015,5,3017234,3751,0.881,287,344024,0.046,0.634
2015,6,3105133,3945,0.902,287.2,347691,0.05,0.644
2015,7,3349845,4153,0.921,276.2,348817,0.049,0.645
2015,8,3324880,4141,0.905,264.2,349467,0.044,0.643
2015,9,2830912,3671,0.89,291.63,344477,0.044,0.634
2015,10,3043178,3707,0.899,307.9,348670,0.04,0.639
2015,11,2645260,3291,0.783,248.5,350459,0.039,0.642
2015,12,2545081,3603,0.629,187.12,350010,0.037,0.639
2016,1,2342969,3473,0.63,178.59,347435,0.041,0.632
2016,2,2297530,3189,0.659,178.9,349549,0.038,0.633
2016,3,2878649,3920,0.793,223.2,350579,0.037,0.633
2016,4,2987158,4337,0.873,239.9,351084,0.034,0.633
2016,5,3245967,4501,0.845,281.3,350487,0.035,0.634
2016,6,3406989,4701,0.906,286,354048,0.04,0.644
2016,7,3563829,4871,0.917,266.7,355265,0.038,0.645
2016,8,3555757,4824,0.909,265.6,355898,0.033,0.643
2016,9,3091550,4349,0.896,303.3,351598,0.032,0.634
2016,10,3198834,4102,0.883,304.63,354975,0.027,0.639
2016,11,2921196,3705,0.788,250.84,356974,0.026,0.642
2016,12,2797614,4067,0.644,183.95,356728,0.025,0.639
2017,1,2603998,4004,0.618,171.67,355449,0.034,0.639
2017,2,2369960,3557,0.672,173.41,358403,0.034,0.645
2017,3,3076023,4177,0.806,226.52,362917,0.032,0.652
2017,4,3271833,4534,0.886,288.55,364559,0.034,0.654
2017,5,3465345,4592,0.893,302.6,361996,0.039,0.654
2017,6,3552952,4718,0.919,289.65,364609,0.043,0.662
2017,7,3683573,5046,0.904,277.12,365271,0.042,0.663
2017,8,3757903,4976,0.895,268.55,364706,0.036,0.657
2017,9,3178011,4400,0.889,291.44,360216,0.034,0.648
2017,10,3431263,4167,0.912,316.77,359860,0.031,0.645
2017,11,3089200,3879,0.814,243.66,360193,0.03,0.645
2017,12,2930898,4134,0.649,177.63,362346,0.027,0.647
2018,1,2576261,3864,0.638,170.11,361240,0.033,0.626
2018,2,2605207,3664,0.679,168.98,366154,0.032,0.634
2018,3,3197326,4257,0.828,229.05,369308,0.031,0.639
2018,4,3508607,4516,0.864,282.19,373932,0.028,0.645
2018,5,3705129,4763,0.882,298.36,376517,0.031,0.651
2018,6,3843131,4817,0.917,301.32,380575,0.039,0.663
2018,7,3999933,5095,0.911,277.07,384241,0.038,0.67
2018,8,4044126,5054,0.921,279.13,383347,0.034,0.665
2018,9,3393644,4742,0.918,306.75,379748,0.03,0.656
2018,10,3677923,4517,0.917,337.92,382442,0.027,0.659
2018,11,3296694,3986,0.804,257.62,383224,0.024,0.658
2018,12,3093944,4404,0.655,179.4,383962,0.023,0.664
2019,1,2710036,4039,0.629,170.22,385880,0.03,0.667
2019,2,2716724,3667,0.725,175.29,387709,0.025,0.667
2019,3,3457362,4523,0.812,225.1,388432,0.025,0.668
2019,4,3647276,4847,0.877,287.72,387742,0.022,0.665
2019,5,3879343,4907,0.878,312.01,386895,0.029,0.668
2019,6,3946406,4955,0.898,314.97,390540,0.031,0.675
2019,7,4072082,5260,0.9,285.02,390678,0.028,0.674
2019,8,4120937,5190,0.888,270.54,392536,0.027,0.676
2019,9,3547546,4586,0.895,312.37,385445,0.028,0.665
2019,10,3771212,4388,0.907,313.17,390983,0.023,0.671
2019,11,3264105,3959,0.803,238.82,391531,0.021,0.67
2019,12,3389382,4155,0.717,183.2,392118,0.02,0.67